dimension,horizon,held_out_function,final_regret_optimistic_improvement_movement_cost2,final_regret_optimistic_improvement_movement_cost3,regret_diff_pct,mean_total_scaled_move_cost_optimistic_improvement_movement_cost2,mean_total_scaled_move_cost_optimistic_improvement_movement_cost3,mean_decision_time_optimistic_improvement_movement_cost2,mean_decision_time_optimistic_improvement_movement_cost3,basis,winner
3,5,ackley,0.01846925479826848,0.01639617930219635,11.224467466150731,1.8410821782115174,1.7353696131354486,239.0745903158188,204.3483148320516,regret,optimistic_improvement_movement_cost3
3,5,levy,0.09623575575041549,0.09293360378909056,3.4313150404190274,5.659703682126163,5.694409139091914,198.42143918832144,116.92781127293905,move_cost_tiebreak,optimistic_improvement_movement_cost2
3,5,michalewicz,-0.005706319553630619,-0.005706319553630619,0.0,4.157387743508635,4.030212570510373,91.4295735136668,105.8038652086258,move_cost_tiebreak,optimistic_improvement_movement_cost3
3,5,rastrigin,1.3597324333097849,1.1844630379685317,12.88999151948021,3.3479388171895033,3.2922664667557875,104.436874666214,338.2408895762762,regret,optimistic_improvement_movement_cost3
3,5,rosenbrock,1.3226886434407892,1.3722021852478772,-3.608326989957663,3.403628261916699,3.1442368901332913,180.54699786663056,110.60978916962942,move_cost_tiebreak,optimistic_improvement_movement_cost3
3,5,schwefel,1254.4286766381185,1254.484447844023,-0.004445747095571406,5.6851610642590105,5.9499194315752755,111.84049677054087,237.0388037745158,move_cost_tiebreak,optimistic_improvement_movement_cost2
3,5,sphere,7.968657775714614e-05,0.00011179222111753805,-28.71903164589253,1.5465151466384957,1.5598807093662466,252.83649887084962,109.88798919836681,regret,optimistic_improvement_movement_cost2
3,5,sum_square,8.996107989240313e-05,8.266401527402606e-05,8.111357297071848,1.6031221087273577,1.5827356757588642,199.42486748695373,102.94120162804921,regret,optimistic_improvement_movement_cost3
5,3,ackley,0.06330764280507657,0.04682081812466802,26.04239227666599,3.3425564221325916,3.483007858556084,147.80864107131958,67.15435431162517,regret,optimistic_improvement_movement_cost3
5,3,levy,0.22094439635998295,0.24487067699031276,-9.770986434311343,6.956943956894409,6.566830501130191,157.1715434741974,144.84063535213468,regret,optimistic_improvement_movement_cost2
5,3,michalewicz,-0.5166614015401007,-0.5166614015401007,0.0,7.6198233697858875,7.825056332836454,310.95968045075733,144.4057503636678,move_cost_tiebreak,optimistic_improvement_movement_cost2
5,3,rastrigin,10.615967891820846,11.40450382862646,-6.914250270373963,5.529193021826896,5.702338489560915,58.88633331457774,60.61615347067515,regret,optimistic_improvement_movement_cost2
5,3,rosenbrock,3.421919177197432,5.436789194799727,-37.059925360532866,6.2153581387342145,6.156083370982796,175.79879541714988,71.7272127612432,regret,optimistic_improvement_movement_cost2
5,3,schwefel,2090.752135004288,2090.890292772146,-0.006607604824396336,14.21022920998032,14.337243002659063,84.78344950517018,147.00090686321258,move_cost_tiebreak,optimistic_improvement_movement_cost2
5,3,sphere,0.0008559464966328819,0.0012975905955856643,-34.035704362780734,2.805719623534408,2.7505774559623077,214.59031833807626,92.67671624183656,regret,optimistic_improvement_movement_cost2
5,3,sum_square,0.0014691844931841315,0.0034743841290155505,-57.71381520786483,3.1221940659223932,3.1703386039877905,193.44864184856417,69.30325711250305,regret,optimistic_improvement_movement_cost2
5,5,ackley,0.04444494343084715,0.04444494343084715,0.0,3.1337997386970464,3.1337997386970464,224.2461743847529,108.30040999094645,decision_time_tiebreak,optimistic_improvement_movement_cost3
5,5,levy,0.21929946147781706,0.2483575979909418,-11.700119806354603,6.949623438330128,6.7376063256623295,224.32687019824982,81.96887511571249,regret,optimistic_improvement_movement_cost2
5,5,michalewicz,-0.5166614015401007,-0.5166614015401007,0.0,7.255112561276159,7.255112561276159,91.70440904458364,255.06173287550607,decision_time_tiebreak,optimistic_improvement_movement_cost2
5,5,rastrigin,9.1309537669137,9.1309537669137,0.0,4.849492689279314,4.849492689279314,167.35788438955942,338.37124835650127,decision_time_tiebreak,optimistic_improvement_movement_cost2
5,5,rosenbrock,3.7288809438510797,3.678368349774924,1.3546314520835245,5.665207270527316,5.264978357759606,162.4511944325765,94.18693339665731,move_cost_tiebreak,optimistic_improvement_movement_cost3
5,5,schwefel,2090.9598270414654,2090.9598270414654,0.0,9.35264239750425,9.35264239750425,100.18771134058635,100.8643029944102,decision_time_tiebreak,optimistic_improvement_movement_cost2
5,5,sphere,0.0006687609427659027,0.0006687609427659027,0.0,2.5828821765504606,2.5828821765504606,249.31034594853722,119.80102346261343,decision_time_tiebreak,optimistic_improvement_movement_cost3
5,5,sum_square,0.0018094378062818363,0.0018094378062818363,0.0,2.8566611932245976,2.8566611932245976,202.6887411896388,138.41268184502917,decision_time_tiebreak,optimistic_improvement_movement_cost3
