dimension,horizon,held_out_function,reward,best_config_found,config_id,mean_rank,test_config_found,test_status,score,best_regret,final_regret,mean_budget_fraction_used,mean_remaining_movement_budget,mean_total_raw_move_cost,std_total_raw_move_cost,mean_total_scaled_move_cost,std_total_scaled_move_cost
3,3,sum_square,budgeted_exploration,True,0,2.75,True,ok,0.00030387943955983624,0.0002633772570355002,0.0002633772570355002,0.40884234196310354,2.750421876762408,1.9021810953380454,0.1318154045199252,1.9021810953380456,0.13181540451992524
3,3,sum_square,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,sum_square,pure_bo,False,nan,nan,True,ok,0.01789513815473406,0.01789513815473406,0.01789513815473406,nan,nan,13.777621690433605,1.1771076595636933,13.777621690433605,1.1771076595636936
3,3,levy,earlbo,False,nan,nan,True,ok,1.7096025664051817e-05,1.7096025664051817e-05,1.7096025664051817e-05,nan,nan,4.9138906287874216,0.5171701707258314,4.9138906287874216,0.5171701707258316
3,3,levy,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,levy,log_improvement,True,2,1.75,True,ok,0.04265542711860335,0.04265542711860335,0.04265542711860335,nan,nan,5.724979653682774,1.415019452090124,5.724979653682774,1.415019452090124
3,3,levy,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,levy,optimistic_improvement,True,1,1.75,True,ok,0.028010144456618154,0.02801014445661815,0.02801014445661815,nan,nan,5.743421349896356,1.5553721529419695,5.743421349896358,1.555372152941969
3,3,levy,budgeted_exploration,True,1,1.5,True,ok,0.10463817109707649,0.1046381710970765,0.1046381710970765,0.9999999999999997,8.881784197001252e-16,4.913890628787421,1.1466334093198022e-15,4.913890628787421,7.251946429389431e-16
3,3,levy,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,levy,pure_bo,False,nan,nan,True,ok,0.004019060820928694,0.004019060820928694,0.004019060820928694,nan,nan,12.979066599681987,1.5365408202980748,12.979066599681987,1.5365408202980753
3,3,rosenbrock,earlbo,False,nan,nan,True,ok,0.48154707085326054,0.48154707085326054,0.48154707085326054,nan,nan,13.285269602811596,3.588076849136963,13.285269602811596,3.5880768491369626
3,3,rosenbrock,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,rosenbrock,log_improvement,True,1,1.75,True,ok,0.8361229500579433,0.8348402320157519,0.8348402320157519,nan,nan,10.20588834204351,1.2530122140010467,10.20588834204351,1.253012214001047
3,3,rosenbrock,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,rosenbrock,optimistic_improvement,True,2,1.75,True,ok,0.6180004395593262,0.5734385990856279,0.5734385990856279,nan,nan,12.162650894432025,1.5276569343098942,12.162650894432026,1.5276569343098947
3,3,rosenbrock,budgeted_exploration,True,0,3.0,True,ok,1.6350039432629202,1.6350039432629204,1.6350039432629204,0.48901024796435205,6.788636620067428,6.496632982744164,0.9458719427144108,6.496632982744167,0.945871942714411
3,3,rosenbrock,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3,rosenbrock,pure_bo,False,nan,nan,True,ok,0.320294603349201,0.320294603349201,0.320294603349201,nan,nan,24.522417619433707,1.3786092488589352,24.522417619433707,1.3786092488589352
3,5,ackley,earlbo,False,nan,nan,True,ok,0.04342069336399653,0.04342069336399653,0.04342069336399653,nan,nan,4.07843049289264,0.6927214317610355,4.07843049289264,0.692721431761036
3,5,ackley,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,ackley,log_improvement,True,2,1.25,True,ok,0.02820241426369489,0.02820241426369489,0.02820241426369489,nan,nan,4.696161613368998,0.9877672656864186,4.696161613368999,0.9877672656864191
3,5,ackley,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,ackley,optimistic_improvement,True,0,2.0,True,ok,0.045683488610766876,0.045683488610766876,0.045683488610766876,nan,nan,3.7902399063324963,0.664120790754073,3.7902399063324963,0.6641207907540724
3,5,ackley,budgeted_exploration,True,0,2.25,True,ok,0.06660373147553662,0.05503083564754071,0.05503083564754071,0.7165252106701697,1.1561322247690964,2.922298268123543,0.05941385256092283,2.922298268123543,0.059413852560922686
3,5,ackley,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,ackley,pure_bo,False,nan,nan,True,ok,0.22870604282765136,0.22870604282765136,0.22870604282765136,nan,nan,26.24812289630493,6.333284500795374,26.24812289630493,6.333284500795374
3,5,sphere,earlbo,False,nan,nan,True,ok,0.00022951313638062452,0.00022951313638062452,0.00022951313638062452,nan,nan,4.157655280900634,0.26855684891411247,4.157655280900635,0.2685568489141123
3,5,sphere,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,sphere,log_improvement,True,2,1.5,True,ok,4.8862084006413006e-05,4.8862084006413006e-05,4.8862084006413006e-05,nan,nan,4.512166476622812,0.1811995264500022,4.512166476622812,0.1811995264500022
3,5,sphere,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,sphere,optimistic_improvement,True,0,1.75,True,ok,0.00010621943809657846,0.00010140236732426794,0.00010140236732426794,nan,nan,4.512151758540218,0.23830819801402564,4.512151758540219,0.23830819801402528
3,5,sphere,budgeted_exploration,True,0,2.25,True,ok,0.00012737744601271233,0.00012737744601271233,0.00012737744601271233,0.40014969748273627,2.4939707780107447,1.6636845028898903,0.06860935671391888,1.6636845028898897,0.06860935671391906
3,5,sphere,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,sphere,pure_bo,False,nan,nan,True,ok,0.006737960578274292,0.006737960578274292,0.006737960578274292,nan,nan,12.471133131475753,1.5638379030591718,12.471133131475753,1.5638379030591718
3,5,sum_square,earlbo,False,nan,nan,True,ok,0.0004697716059967717,0.0004697716059967717,0.0004697716059967717,nan,nan,4.480352437797678,0.09435530539926773,4.480352437797678,0.09435530539926806
3,5,sum_square,snake,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,sum_square,log_improvement,True,2,1.5,True,ok,0.00015577377473963307,0.00014772737593845547,0.00014772737593845547,nan,nan,4.966944340044591,0.2693148274697812,4.966944340044591,0.2693148274697812
3,5,sum_square,normalized_improvement,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5,sum_square,optimistic_improvement,True,0,1.75,True,ok,0.00022936417178683454,0.00022936417178683456,0.00022936417178683456,nan,nan,4.736459103567378,0.12081132590921512,4.736459103567378,0.12081132590921494
3,5,sum_square,budgeted_exploration,True,0,2.25,True,ok,0.000267489117422301,0.000267489117422301,0.000267489117422301,0.400133983715598,2.6876111684118023,1.7927412693858755,0.14615207032279762,1.7927412693858755,0.1461520703227977
3,5,sum_square,lookahead_budgeted_exploration,False,nan,nan,False,,nan,nan,nan,nan,nan,nan,nan,nan,nan
